kind,size_m,paper_relative_volume,pnextract_relative_volume
pore_node_size,6.36680861318753e-07,3.098557759847052e-06,0.0
pore_node_size,6.95510998496447e-07,5.809795799713224e-06,0.0
pore_node_size,7.59777116635115e-07,3.5432581790843624e-06,0.0
pore_node_size,8.29981507424458e-07,5.221643632334853e-06,0.0
pore_node_size,9.06672874957625e-07,4.274862094603803e-06,0.0
pore_node_size,9.9045062429749e-07,3.198973983545802e-06,0.0
pore_node_size,1.08196954631199e-06,4.2877727519365026e-05,0.0
pore_node_size,1.18194493539433e-06,8.861014482673725e-05,0.0
pore_node_size,1.29115818006718e-06,0.00012037036186516908,0.0
pore_node_size,1.41046287016595e-06,8.974341363705165e-05,0.0
pore_node_size,1.5407914683337e-06,0.00012481736605754308,0.0
pore_node_size,1.68316259797083e-06,0.00010933892243312107,0.0
pore_node_size,1.83868900460081e-06,0.00020566677130984812,0.0
pore_node_size,2.0085862528764e-06,0.00015918840491214312,0.0
pore_node_size,2.19418222720047e-06,0.0002624593183988972,0.0
pore_node_size,2.39692751021666e-06,0.0003233976210092232,0.0
pore_node_size,2.61840672028583e-06,0.0004806494273214603,0.0
pore_node_size,2.86035089656018e-06,0.0009569809570238757,0.0
pore_node_size,3.12465102845425e-06,0.001302384076197931,0.0
pore_node_size,3.41337283525654e-06,0.001452535020977191,0.00039423171751045024
pore_node_size,3.72877291139644e-06,0.0017923435219737614,0.0
pore_node_size,4.0733163635548e-06,0.0029222699065565017,0.0009464348951900848
pore_node_size,4.44969607746629e-06,0.0038686928358285227,0.0004074734428481609
pore_node_size,4.86085376499937e-06,0.0052979599623459135,0.0033399348277240674
pore_node_size,5.3100029560137e-06,0.006128158264362715,0.002613498421916653
pore_node_size,5.80065411469499e-06,0.008370380750947625,0.007127068231978701
pore_node_size,6.33664207667177e-06,0.009693866746587817,0.007582862399091687
pore_node_size,6.92215602135734e-06,0.010872667079028207,0.011175086877648744
pore_node_size,7.56177221377493e-06,0.012749331350357308,0.007018811615883686
pore_node_size,8.26048977177001e-06,0.01403884797203771,0.01032529347331901
pore_node_size,9.02376973815944e-06,0.01715575285497931,0.021272947614203196
pore_node_size,9.85757776319769e-06,0.018774175770265415,0.014474831928583294
pore_node_size,1.07684307309585e-05,0.01709861652556661,0.016521956457583614
pore_node_size,1.17634476940546e-05,0.018831068597654516,0.021496198838154037
pore_node_size,1.28504055147914e-05,0.021977711027985816,0.020570903860333653
pore_node_size,1.40377996476357e-05,0.026534556495757818,0.022697477958241907
pore_node_size,1.53349105380634e-05,0.03165135185180512,0.027964665721793965
pore_node_size,1.6751876156746e-05,0.03092779634262002,0.03633598986267803
pore_node_size,1.82997712359916e-05,0.03984174425896623,0.04197743024043742
pore_node_size,1.99906938277338e-05,0.043670154244199726,0.05087261816040201
pore_node_size,2.1837859859593e-05,0.060137280386392544,0.07617686207295798
pore_node_size,2.38557064280388e-05,0.08349653437134595,0.092245810867488
pore_node_size,2.60600046359752e-05,0.07771188549579115,0.0742475140629904
pore_node_size,2.84679828566652e-05,0.08004233097477326,0.09017266615517125
pore_node_size,3.10984613874018e-05,0.08813723031349356,0.09228692902038117
pore_node_size,3.3971999545352e-05,0.11092556150156208,0.12031245805766823
pore_node_size,3.71110563552488e-05,0.10426803017268607,0.09006464049546434
pore_node_size,4.05401660848334e-05,0.02990776773585932,0.01750625821034286
pore_node_size,4.428613e-05,0.01743176606333081,0.021871144512013368
pore_throat_length,6.22842906234858e-09,8.184705901380812e-06,0.0
pore_throat_length,7.61489946107633e-09,0.0,0.0
pore_throat_length,9.31000308775058e-09,0.0,0.0
pore_throat_length,1.1382442793496e-08,0.0,0.0
pore_throat_length,1.39162149277561e-08,1.4868882387508502e-05,0.0
pore_throat_length,1.70140137252577e-08,0.0,0.0
pore_throat_length,2.08013935215883e-08,2.3190000053912306e-06,0.0
pore_throat_length,2.54318574927225e-08,2.9874176540040005e-05,0.0
pore_throat_length,3.10930791660133e-08,6.820588251150651e-07,0.0
pore_throat_length,3.8014508861597e-08,4.610717657777861e-05,0.0
pore_throat_length,4.64766733546296e-08,0.0009690693775744571,0.0
pore_throat_length,5.68225456753197e-08,1.6915058862853702e-05,0.0
pore_throat_length,6.94714458667718e-08,1.3641176502308203e-07,0.0
pore_throat_length,8.49360361008262e-08,3.8740941266535904e-05,0.0
pore_throat_length,1.03843098966958e-07,7.584494135279561e-05,0.0
pore_throat_length,1.26958941081977e-07,0.00028878370655371905,0.0
pore_throat_length,1.55220451633341e-07,0.044032353631778605,0.0
pore_throat_length,1.89773074664361e-07,4.324252951229291e-05,0.0
pore_throat_length,2.32017234124769e-07,0.00019070364750218804,0.0
pore_throat_length,2.8366509330218e-07,0.00012727217676646003,0.0
pore_throat_length,3.46809949104315e-07,0.00030269770658608006,0.0
pore_throat_length,4.24011073754533e-07,0.0006206735308546981,0.0
pore_throat_length,5.1839744254971e-07,0.0010545993553929202,0.0
pore_throat_length,6.33794551784881e-07,0.0016702257503672202,0.0
pore_throat_length,7.74879466797675e-07,0.0008804015314584981,0.0
pore_throat_length,9.47370384257336e-07,0.0006714187074432291,0.0001814805041258703
pore_throat_length,1.15825839169157e-06,0.0018264171218930502,4.9933993836171235e-05
pore_throat_length,1.41609081750599e-06,0.0023108152994898204,1.7360564165263815e-05
pore_throat_length,1.73131765572287e-06,0.0030833153236661404,0.00330727722182325
pore_throat_length,2.11671510609527e-06,0.0024061671232409702,0.0007658335307369059
pore_throat_length,2.58790339575275e-06,0.007579719226376361,0.0006928117763098173
pore_throat_length,3.16397986978186e-06,0.013269727763271002,0.004988745922379129
pore_throat_length,3.86829301001517e-06,0.010997243871476402,0.002907447027848894
pore_throat_length,4.72938875314774e-06,0.023081007153085205,0.0035991849059108416
pore_throat_length,5.78216746262263e-06,0.022062829738953602,0.022988072768473394
pore_throat_length,7.06929844656134e-06,0.03733849210918621,0.006305106878078934
pore_throat_length,8.64294935240204e-06,0.037936248065815505,0.003023780721551014
pore_throat_length,1.0566900530918e-05,0.04921095416332671,0.011248750394835014
pore_throat_length,1.2919130065165e-05,0.057680622949309306,0.011173939331787439
pore_throat_length,1.57949742360402e-05,0.06828486482403051,0.025933461722565214
pore_throat_length,1.93109915186838e-05,0.07544157106764432,0.04775801730725949
pore_throat_length,2.36096867181829e-05,0.06770661435784242,0.07583309500545193
pore_throat_length,2.88652867146374e-05,0.11175888251650701,0.14941038611612373
pore_throat_length,3.52908019095626e-05,0.11810626233181101,0.16649514890231806
pore_throat_length,4.31466595753034e-05,0.09591165644163481,0.1708471005904349
pore_throat_length,5.27512590186476e-05,0.05478801515073801,0.15688258541987632
pore_throat_length,6.44938763612937e-05,0.06227879181838441,0.10109951294930304
pore_throat_length,7.88504419702187e-05,0.025854666577042502,0.026930351149246662
pore_throat_length,9.640283e-05,0.0,0.007560615295558722
